shots_per_circuit,seed,replicate,energy_hartree,uncertainty_hartree,absolute_z_score,statistically_consistent_with_ideal_at_3sigma,total_circuit_shots,source_file
10000,10001,1,-2587.9121300113065,0.000647257780911243,0.19850652612157424,True,5760000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_10000_seed_10001.json
10000,10002,2,-2587.912536755437,0.0006475668439270189,0.8265232062144984,True,5760000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_10000_seed_10002.json
10000,10003,3,-2587.9120721869704,0.0006472691161716671,0.10916720054599091,True,5760000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_10000_seed_10003.json
1000,10001,1,-2587.912098031994,0.002053212003933172,0.04700224860183005,True,576000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_1000_seed_10001.json
1000,10002,2,-2587.9109700509707,0.0020464557054269378,0.5040301822791162,True,576000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_1000_seed_10002.json
1000,10003,3,-2587.9078655525977,0.002045821208451095,2.0216692436877,True,576000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_1000_seed_10003.json
100,102,1,-2587.9260683434227,0.006479922953474805,2.1708309050481853,True,57600,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_100_seed_102.json
100,103,2,-2587.9242507099107,0.00649478315716535,1.8860034586684464,True,57600,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_100_seed_103.json
100,104,3,-2587.920881430262,0.0064566372024140745,1.3753140482590982,True,57600,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_100_seed_104.json
2500,10001,1,-2587.910540706887,0.0012966900791035144,1.1265756942348348,True,1440000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_2500_seed_10001.json
2500,10002,2,-2587.9111934430052,0.001296203540228655,0.623423237662618,True,1440000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_2500_seed_10002.json
2500,10003,3,-2587.911166803454,0.001296415125257891,0.6438701175536623,True,1440000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_2500_seed_10003.json
250,2501,1,-2587.9146330009316,0.004092812840373134,0.6429501228924543,True,144000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_250_seed_2501.json
250,2502,2,-2587.908363923343,0.004085668454945562,0.8903324168205847,True,144000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_250_seed_2502.json
250,2503,3,-2587.9047401494277,0.004095662587936822,1.7729431635030575,True,144000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_250_seed_2503.json
5000,10001,1,-2587.91178269054,0.0009156778367821384,0.23898784514148289,True,2880000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_5000_seed_10001.json
5000,10002,2,-2587.9113092801467,0.0009166442797417352,0.7551961884505882,True,2880000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_5000_seed_10002.json
5000,10003,3,-2587.9119865224957,0.0009164799921241161,0.016371243669729866,True,2880000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_5000_seed_10003.json
500,10001,1,-2587.912151595745,0.0029008958544876444,0.05173206468679776,True,288000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_500_seed_10001.json
500,10002,2,-2587.9104899519048,0.002889280044926044,0.5231664929262413,True,288000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_500_seed_10002.json
500,10003,3,-2587.906819573843,0.0028962671667746485,1.789183204220436,True,288000,artifacts/max_shot_production/WT_TMP/local_finite_shots/shots_500_seed_10003.json
